IDX_STUDENT,COD_PROGRAMA,JORNADA,DURACION,PERIODO_INGRESO,ESTADO_CIVIL,ESTRATO,CONDICION_EXCEPCION,TIPO_COLEGIO,RANGO_INGRESOS,RANGO_GASTOS,TIPO_VIVIENDA,PUNTAJE_ICFES,PCN,PLC,PMA,PSC,PIN
STUDENT_1722,2710,1,6,6,1,1,5,1,3,3,2,283,51,58,46,51,77
STUDENT_316,2131,1,6,3,1,3,1,1,2,2,2,253,50,48,53,58,44
STUDENT_1452,2711,2,7,5,2,2,1,1,2,2,2,245,49,52,56,41,47
STUDENT_579,2131,1,6,14,1,3,1,1,2,2,2,318,59,55,55,75,74
STUDENT_374,2710,2,7,9,1,1,1,3,2,2,2,218,46,49,38,39,47
STUDENT_1354,2711,2,7,8,1,1,1,1,2,2,2,205,43,39,45,42,36
STUDENT_404,2711,1,6,14,1,2,1,2,2,2,1,224,49,41,44,37,53
STUDENT_891,2711,2,7,12,1,2,1,2,2,2,2,348,58,71,68,69,82
STUDENT_1311,2131,1,6,5,1,2,1,1,4,4,1,260,51,52,56,50,52
STUDENT_1280,2711,1,6,15,1,2,1,2,5,5,1,291,55,54,63,59,60
STUDENT_33,2131,1,6,13,1,2,1,1,2,2,5,321,68,64,64,70,55
STUDENT_1168,2839,2,6,14,1,1,1,1,6,6,1,296,57,66,59,65,49
STUDENT_833,2131,1,6,3,1,2,1,1,3,3,1,247,52,47,50,46,52
STUDENT_1372,2711,1,6,6,1,1,2,1,1,1,1,223,46,45,46,43,43
STUDENT_1621,2710,2,7,7,1,2,1,1,2,2,1,246,51,41,61,46,47
STUDENT_1887,2710,2,7,1,1,1,1,1,1,1,1,246,47,50,48,56,45
STUDENT_1393,2711,1,6,6,1,1,1,2,4,4,2,247,47,50,52,51,47
STUDENT_230,2131,1,6,2,1,4,1,1,2,2,2,315,60,57,63,69,66
STUDENT_608,2711,1,6,13,1,3,1,3,4,4,2,276,61,58,47,53,57
STUDENT_661,2711,2,7,12,1,2,1,2,6,6,5,260,47,63,47,50,53
STUDENT_265,2131,1,6,3,1,1,1,2,2,2,3,272,49,62,53,54,54
STUDENT_438,2710,1,6,9,1,1,1,1,2,2,1,244,51,47,41,48,57
STUDENT_1941,2710,2,7,1,1,2,1,1,1,1,5,233,43,53,40,46,51
STUDENT_650,2131,1,6,13,1,1,1,2,2,2,2,251,61,50,53,49,38
STUDENT_461,2710,1,6,10,1,2,1,1,2,2,2,254,49,49,48,56,52
STUDENT_639,2711,1,6,14,1,2,1,1,2,2,3,335,58,77,70,64,66
STUDENT_889,2710,1,6,11,1,1,1,1,3,3,1,278,62,60,53,55,48
STUDENT_355,2131,1,6,3,1,1,1,2,2,2,4,281,62,59,53,65,42
STUDENT_1893,2710,2,7,1,2,2,1,1,3,3,2,262,52,56,67,49,37
STUDENT_1581,2711,1,6,1,1,2,1,2,2,2,4,214,41,42,40,56,35
STUDENT_354,2131,1,6,5,1,2,1,1,2,2,1,246,48,47,50,56,45
STUDENT_1647,2710,2,7,7,1,2,1,2,2,2,2,284,50,51,67,60,57
STUDENT_1226,2131,1,6,14,1,2,1,2,4,4,2,275,60,57,62,44,52
STUDENT_1848,2710,1,6,2,1,1,1,2,4,4,1,245,51,50,56,47,41
STUDENT_1245,2711,1,6,15,1,1,4,2,2,2,1,261,52,52,52,51,54
STUDENT_799,2711,2,7,11,1,2,1,1,2,2,1,267,56,54,53,56,48
STUDENT_857,2710,2,7,12,1,1,1,2,2,2,1,254,54,48,51,51,50
STUDENT_1296,2711,1,6,15,1,2,2,1,2,2,2,297,61,56,54,53,73
STUDENT_1889,2710,2,7,1,1,3,1,1,2,2,2,257,51,63,51,49,43
STUDENT_128,2131,1,6,9,1,2,1,3,2,2,1,236,53,43,50,45,45
STUDENT_126,2131,1,6,9,2,2,1,2,2,2,1,247,52,46,45,42,63
STUDENT_152,2131,1,6,10,1,2,1,1,2,2,1,261,49,49,55,55,53
STUDENT_664,2710,2,7,12,1,2,1,1,1,1,1,206,38,52,35,41,40
STUDENT_347,2711,2,7,9,1,1,1,1,2,2,1,249,45,51,61,48,43
STUDENT_580,2710,1,6,13,1,3,1,1,2,2,3,309,67,62,59,59,62
STUDENT_824,2711,2,7,11,1,2,1,1,4,4,5,306,50,63,64,65,64
STUDENT_1215,2721,2,7,13,1,1,1,1,2,2,2,321,67,67,58,62,67
STUDENT_761,2711,1,6,9,1,1,1,1,2,2,5,284,60,53,57,59,56
STUDENT_1894,2710,2,7,1,1,3,1,2,1,1,1,221,44,46,51,38,42
STUDENT_849,2710,2,7,12,1,3,1,2,2,2,2,269,58,58,47,41,65
STUDENT_676,2710,2,7,14,1,1,1,1,3,3,2,240,44,52,45,45,54
STUDENT_1495,2711,1,6,4,1,2,1,2,3,3,2,239,50,45,55,47,43
STUDENT_1641,2710,2,7,7,1,2,1,2,3,3,5,243,48,50,59,50,38
STUDENT_1836,2710,2,7,3,1,2,1,2,2,2,1,225,43,48,44,41,48
STUDENT_487,2710,2,7,9,1,3,1,1,2,2,3,228,46,44,56,50,33
STUDENT_558,2131,1,6,13,1,2,1,1,2,2,2,260,55,46,55,51,53
STUDENT_502,2131,1,6,2,1,1,1,1,2,2,1,249,52,50,56,48,44
STUDENT_854,2710,2,7,12,1,2,1,3,2,2,5,301,65,65,52,67,52
STUDENT_614,2721,2,7,13,1,2,1,2,5,5,5,269,55,55,65,56,38
STUDENT_1305,2839,2,6,13,1,2,1,2,1,1,2,212,38,52,36,39,47
STUDENT_1875,2710,1,6,2,1,2,1,2,3,3,1,216,47,44,39,47,39
STUDENT_599,2711,2,7,12,1,2,1,2,2,2,1,228,45,42,50,47,44
STUDENT_1544,2711,2,7,3,1,3,1,2,3,3,2,317,63,69,63,60,62
STUDENT_272,2131,1,6,5,1,2,1,3,3,3,2,221,47,47,49,37,41
STUDENT_1885,2710,1,6,2,1,2,1,2,2,2,2,241,44,49,47,48,53
STUDENT_1771,2710,2,7,5,1,1,1,2,1,1,2,238,50,50,40,46,52
STUDENT_1661,2710,2,7,7,1,3,1,1,2,2,2,267,54,54,61,61,38
STUDENT_1064,2710,1,6,13,1,2,1,2,3,3,1,228,48,51,42,44,43
STUDENT_1340,2711,2,7,8,2,2,1,1,2,2,2,215,44,43,44,45,39
STUDENT_434,2131,1,6,5,1,1,1,1,2,2,1,241,52,49,52,54,34
STUDENT_843,2131,1,6,9,1,3,1,1,3,3,2,239,47,52,44,57,39
